temperature,humidity
71.80,19.70
71.90,19.70
71.80,19.70
71.80,19.80
71.50,19.80
71.40,19.80
71.30,19.80
71.20,19.90
71.10,19.80
71.30,19.80
70.90,19.90
70.80,19.80
71.00,19.90
71.20,19.90
71.20,19.90
71.30,19.90
71.10,19.80
71.40,19.80
71.30,19.80
71.50,19.90
71.40,19.90
71.50,19.90
71.30,19.80
71.40,19.90
71.20,19.90
71.80,19.80
71.70,19.90
71.70,19.90
71.50,19.90
71.60,19.90
71.50,19.80
71.60,19.80
71.20,19.80
71.30,19.90
71.30,19.80
71.30,19.80
71.30,19.80
71.20,19.80
71.20,19.80
71.10,19.80
71.00,19.80
71.00,19.80
71.10,19.80
71.00,19.80
71.10,19.80
70.90,19.80
71.00,19.80
71.10,19.80
70.80,19.80
70.20,19.80
70.30,19.80
70.20,19.90
70.00,19.90
69.40,19.90
69.30,19.90
69.60,19.90
69.40,20.00
69.50,20.00
69.20,20.00
69.10,20.00
69.10,20.00
69.00,20.00
69.20,20.00
69.10,20.00
69.00,20.00
69.00,20.00
68.90,20.00
69.00,20.00
69.20,20.00
68.90,20.00
68.90,20.00
69.20,20.00
69.00,20.00
69.10,20.00
69.10,20.00
69.00,20.10
68.70,20.10
68.60,20.10
68.40,20.10
68.60,20.10
68.60,20.10
68.60,20.10
68.50,20.10
68.40,20.10
68.50,20.10
68.70,20.10
68.40,20.10
68.60,20.10
68.70,20.10
68.40,20.10
68.40,20.10
68.30,20.10
68.40,20.20
68.20,20.20
68.40,20.20
68.30,20.20
68.30,20.20
68.30,20.20
68.30,20.30
68.30,20.30
68.20,20.30
68.30,20.30
68.00,20.30
68.10,20.30
68.10,20.30
68.10,20.30
68.10,20.40
67.80,20.40
68.30,20.40
68.10,20.40
68.20,20.40
68.20,20.40
68.30,20.40
67.90,20.40
67.80,20.40
67.90,20.40
67.90,20.40
68.00,20.50
67.80,20.50
67.60,20.50
67.70,20.40
67.90,20.50
67.70,20.50
67.80,20.50
67.80,20.50
67.60,20.60
67.80,20.60
67.70,20.60
67.70,20.60
67.70,20.60
68.10,20.60
67.80,20.60
67.70,20.60
67.80,20.60
67.60,20.60
67.70,20.70
67.60,20.60
67.80,20.70
67.90,20.70
67.80,20.70
67.70,20.70
67.70,20.70
67.70,20.70
68.00,20.70
67.90,20.70
67.80,20.70
68.00,20.70
67.80,20.80
67.90,20.80
67.70,20.80
68.00,20.80
68.00,20.80
68.10,20.80
68.00,20.80
68.10,20.80
68.10,20.80
68.30,20.80
68.30,20.80
68.30,20.80
68.10,20.80
68.30,20.80
68.30,20.80
68.20,20.80
68.50,20.90
68.50,20.90
68.50,20.90
68.40,20.90
68.30,20.90
68.50,20.90
68.50,20.90
68.30,20.90
68.30,21.00
68.50,21.00
68.60,20.90
68.60,21.00
68.70,21.00
68.60,21.00
68.40,21.00
68.40,21.00
68.50,21.00
68.40,21.00
68.40,21.10
68.40,21.10
68.50,21.10
68.50,21.00
68.60,21.00
68.60,21.10
68.70,21.10
68.60,21.10
68.50,21.10
68.50,21.10
68.50,21.10
68.30,21.10
68.40,21.10
68.30,21.10
68.50,21.10
68.60,21.10
68.70,21.10
68.50,21.10
68.60,21.10
68.70,21.10
68.70,21.10
68.70,21.10
68.80,21.10
68.60,21.10
68.60,21.10
68.40,21.10
68.50,21.20
68.50,21.20
68.50,21.20
68.40,21.20
68.60,21.20
68.50,21.20
68.40,21.20
68.70,21.20
68.50,21.20
68.50,21.20
68.50,21.20
68.50,21.20
68.50,21.20
68.60,21.30
68.50,21.30
68.60,21.30
68.40,21.30
68.40,21.20
68.30,21.30
68.60,21.30
68.60,21.20
68.40,21.30
68.40,21.30
68.60,21.20
68.70,21.20
68.80,21.20
68.80,21.20
68.80,21.20
68.80,21.30
68.80,21.20
68.90,21.20
68.90,21.20
69.00,21.20
69.10,21.20
69.20,21.30
69.10,21.30
69.00,21.30
69.00,21.30
68.90,21.30
69.20,21.30
69.00,21.30
69.20,21.30
69.00,21.30
69.20,21.30
69.30,21.30
69.10,21.40
69.20,21.40
69.00,21.30
69.10,21.40
68.90,21.40
69.00,21.40
69.10,21.40
69.10,21.40
69.10,21.40
69.10,21.40
69.10,21.40
69.10,21.40
69.20,21.40
69.30,21.40
69.10,21.40
69.00,21.40
69.20,21.40
69.20,21.40
69.40,21.40
69.40,21.40
69.30,21.40
69.30,21.40
69.20,21.40
69.10,21.40
69.10,21.40
69.10,21.40
69.20,21.40
69.10,21.40
69.00,21.50
69.20,21.50
69.40,21.50
69.20,21.50
69.30,21.50
69.10,21.40
69.10,21.50
69.20,21.50
69.20,21.50
69.20,21.50
69.20,21.50
69.10,21.50
69.10,21.50
69.10,21.50
69.20,21.50
69.10,21.50
69.40,21.50
69.60,21.50
69.40,21.50
69.40,21.50
69.40,21.50
69.40,21.50
69.50,21.50
69.50,21.50
69.50,21.50
69.50,21.50
69.60,21.50
69.50,21.50
69.40,21.60
69.40,21.50
69.30,21.60
69.20,21.50
69.30,21.50
69.60,21.60
69.30,21.60
69.40,21.60
69.50,21.60
69.40,21.60
69.30,21.60
69.20,21.60
69.30,21.60
69.30,21.60
69.10,21.60
69.00,21.60
69.10,21.60
69.00,21.60
69.10,21.60
69.10,21.60
69.00,21.60
69.10,21.60
69.10,21.60
69.10,21.50
69.20,21.60
